"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.866853258696521,0.646541383446621,0.835265893642543,0.0579768092762895,0.985205917632947,0.463414634146341,0.418232706917233,0.192323070771691,0.837265093962415,0.608156737305078
"2",0.235105957616953,0.726109556177529,0.185525789684126,0.585765693722511,0.229108356657337,0.55577768892443,0.608556577369052,0.92203118752499,0.912834866053579,0.446621351459416
"3",0.0667732906837265,0.0183926429428229,0.215113954418233,0.238704518192723,0.53218712514994,0.364654138344662,0.00719712115153938,0.140343862455018,0.531387445021991,0.223110755697721
"4",0.768492602958816,0.570571771291483,0.273890443822471,0.240303878448621,0.222710915633747,0.980407836865254,0.0799680127948821,0.48500599760096,0.774090363854458,0.651339464214314
"5",0.50499800079968,0.177129148340664,0.749300279888045,0.682526989204318,0.120751699320272,0.242303078768493,0.928828468612555,0.186325469812075,0.0775689724110356,0.48780487804878
"6",0.113554578168733,0.0375849660135946,0.315873650539784,0.326669332267093,0.707317073170732,0.990803678528589,0.980007996801279,0.552978808476609,0.717313074770092,0.313474610155938
"7",0.361855257896841,0.0219912035185926,0.223510595761695,0.211115553778489,0.712514994002399,0.696121551379448,0.150339864054378,0.494602159136345,0.138344662135146,0.291883246701319
"8",0.0667732906837265,0.100359856057577,0.207516993202719,0.261895241903239,0.917632946821272,0.136745301879248,0.627748900439824,0.33546581367453,0.608556577369052,0.391843262694922
"9",0.976809276289484,0.201119552179128,0.487005197920832,0.266693322670932,0.936425429828069,0.833266693322671,0.999200319872051,0.333866453418633,0.7624950019992,0.954818072770892
"10",0.971611355457817,0.892043182726909,0.290283886445422,0.415433826469412,0.00839664134346262,0.745301879248301,0.945221911235506,0.311475409836066,0.722510995601759,0.21031587365054
"11",0.648540583766493,0.798480607756897,0.228708516593363,0.726109556177529,0.752099160335866,0.389044382247101,0.349460215913635,0.896441423430628,0.0167932826869252,0.808476609356258
"12",0.686925229908037,0.3390643742503,0.40343862455018,0.891643342662935,0.774090363854458,0.839264294282287,0.304278288684526,0.979608156737305,0.314674130347861,0.266693322670932
"13",0.74890043982407,0.0715713714514194,0.672131147540984,0.463814474210316,0.658936425429828,0.538184726109556,0.486205517792883,0.0395841663334666,0.799280287884846,0.0811675329868053
"14",0.369852059176329,0.558976409436226,0.336265493802479,0.974010395841663,0.769292283086765,0.0615753698520592,0.988804478208717,0.0747700919632147,0.980807676929228,0.455417832866853
"15",0.432227109156337,0.706517393042783,0.024390243902439,0.645341863254698,0.843662534986006,0.87485005997601,0.275489804078369,0.577768892443023,0.111955217912835,0.339464214314274
"16",0.898840463814474,0.513394642143143,0.90483806477409,0.634146341463415,0.303478608556577,0.617353058776489,0.895641743302679,0.592163134746102,0.281487405037985,0.450219912035186
"17",0.926029588164734,0.5765693722511,0.598160735705718,0.893242702918832,0.622950819672131,0.502598960415834,0.401839264294282,0.774090363854458,0.350259896041583,0.834866053578569
"18",0.0891643342662935,0.761295481807277,0.419432227109156,0.291483406637345,0.0183926429428229,0.428628548580568,0.489404238304678,0.195921631347461,0.128348660535786,0.262295081967213
"19",0.343862455017993,0.709716113554578,0.323870451819272,0.846061575369852,0.100759696121551,0.315873650539784,0.836465413834466,0.0887644942023191,0.401839264294282,0.511795281887245
