"","V1"
"1",0.119521912350598
"2",0.0677290836653386
"3",0.394422310756972
"4",0.099601593625498
"5",0.0119521912350598
"6",0.0119521912350598
"7",0.151394422310757
"8",0.0318725099601594
"9",0.0876494023904383
"10",0.123505976095618
"11",0.163346613545817
"12",0.167330677290837
"13",0.115537848605578
"14",0.0756972111553785
"15",0.135458167330677
"16",0.0677290836653386
"17",0.0637450199203187
"18",0.047808764940239
"19",0.239043824701195
"20",0.171314741035857
"21",0.0597609561752988
"22",0.0438247011952191
"23",0.0637450199203187
"24",0.254980079681275
"25",0.187250996015936
"26",0.0677290836653386
"27",0.111553784860558
"28",0.107569721115538
"29",0.0876494023904383
"30",0.414342629482072
"31",0.191235059760956
"32",0.0159362549800797
"33",0.0717131474103586
"34",0.111553784860558
"35",0.0796812749003984
"36",0.123505976095618
"37",0.0278884462151394
"38",0.099601593625498
"39",0.0836653386454183
"40",0.111553784860558
"41",0.00796812749003984
"42",0.107569721115538
"43",0.0916334661354582
"44",0.00398406374501992
"45",0.00796812749003984
"46",0.0796812749003984
"47",0.135458167330677
"48",0.0717131474103586
"49",0.0717131474103586
"50",0.0796812749003984
"51",0.0796812749003984
"52",0.151394422310757
"53",0.183266932270916
"54",0.047808764940239
"55",0.0398406374501992
"56",0.131474103585657
"57",0.00796812749003984
"58",0.159362549800797
"59",0.139442231075697
"60",0.139442231075697
"61",0.0278884462151394
"62",0.0756972111553785
"63",0.0278884462151394
"64",0.0597609561752988
"65",0.183266932270916
"66",0.135458167330677
"67",0.191235059760956
"68",0.107569721115538
"69",0.131474103585657
"70",0.135458167330677
"71",0.0358565737051793
"72",0.123505976095618
"73",0.0956175298804781
"74",0.051792828685259
"75",0.119521912350598
"76",0.0717131474103586
"77",0.0278884462151394
"78",0.0438247011952191
"79",0.0597609561752988
"80",0.0836653386454183
"81",0.0278884462151394
"82",0.123505976095618
"83",0.0119521912350598
"84",0.051792828685259
"85",0.215139442231076
"86",0.0557768924302789
"87",0.0119521912350598
"88",0.0119521912350598
"89",0.155378486055777
"90",0.0199203187250996
"91",0.051792828685259
"92",0.111553784860558
"93",0.0358565737051793
"94",0.111553784860558
"95",0.0438247011952191
"96",0.0597609561752988
"97",0.147410358565737
"98",0.00796812749003984
"99",0.0557768924302789
"100",0.0597609561752988
"101",0.103585657370518
"102",0.0916334661354582
"103",0.0438247011952191
"104",0.183266932270916
"105",0.183266932270916
"106",0.0677290836653386
"107",0.0278884462151394
"108",0.215139442231076
"109",0.0119521912350598
"110",0.199203187250996
"111",0.159362549800797
"112",0.0756972111553785
"113",0.0278884462151394
"114",0.223107569721116
"115",0.047808764940239
"116",0.243027888446215
"117",0.047808764940239
"118",0.0239043824701195
"119",0.103585657370518
"120",0.103585657370518
"121",0.183266932270916
"122",0.0239043824701195
"123",0.0358565737051793
"124",0.0637450199203187
"125",0.0756972111553785
"126",0.099601593625498
"127",0.330677290836653
"128",0.191235059760956
"129",0.0239043824701195
"130",0.127490039840637
"131",0.051792828685259
"132",0.199203187250996
"133",0.0557768924302789
"134",0.0239043824701195
"135",0.127490039840637
"136",0.103585657370518
"137",0.0956175298804781
"138",0.0358565737051793
"139",0.111553784860558
"140",0.147410358565737
"141",0.0637450199203187
"142",0.127490039840637
"143",0.0796812749003984
"144",0.107569721115538
"145",0.434262948207171
"146",0.274900398406374
"147",0.270916334661355
"148",0.127490039840637
"149",0.123505976095618
"150",0.135458167330677
"151",0.179282868525896
"152",0.143426294820717
"153",0.0677290836653386
"154",0.175298804780877
"155",0.099601593625498
"156",0.235059760956175
"157",0.103585657370518
"158",0.235059760956175
"159",0.0358565737051793
"160",0.0756972111553785
"161",0.195219123505976
"162",0.099601593625498
"163",0.0398406374501992
"164",0.159362549800797
"165",0.0159362549800797
"166",0.0318725099601594
"167",0.0199203187250996
"168",0.131474103585657
"169",0.0438247011952191
"170",0.0836653386454183
"171",0.0278884462151394
"172",0.183266932270916
"173",0.446215139442231
"174",0.0717131474103586
"175",0.0637450199203187
"176",0.131474103585657
"177",0.0677290836653386
"178",0.135458167330677
"179",0.051792828685259
"180",0.235059760956175
"181",0.099601593625498
"182",0.0557768924302789
"183",0.0677290836653386
"184",0.0836653386454183
"185",0.00398406374501992
"186",0.183266932270916
"187",0.0239043824701195
"188",0.0796812749003984
"189",0.239043824701195
"190",0.0956175298804781
"191",0.0876494023904383
"192",0.0159362549800797
"193",0.0557768924302789
"194",0.0677290836653386
"195",0.0796812749003984
"196",0.278884462151394
"197",0.0438247011952191
"198",0.099601593625498
"199",0.155378486055777
"200",0.223107569721116
