"","V1"
"1",0.219123505976096
"2",0.721115537848606
"3",0.868525896414343
"4",0.446215139442231
"5",0.49003984063745
"6",0.0239043824701195
"7",0.609561752988048
"8",0.569721115537849
"9",0.0956175298804781
"10",0.836653386454183
"11",0.745019920318725
"12",0.764940239043825
"13",0.274900398406374
"14",0.131474103585657
"15",0.856573705179283
"16",0.645418326693227
"17",0.868525896414343
"18",0.338645418326693
"19",0.876494023904382
"20",0.406374501992032
"21",0.49402390438247
"22",0.756972111553785
"23",0.653386454183267
"24",0.466135458167331
"25",0.378486055776892
"26",0.286852589641434
"27",0.98804780876494
"28",0.50199203187251
"29",0.549800796812749
"30",0.382470119521912
"31",0.900398406374502
"32",0.139442231075697
"33",0.617529880478088
"34",0.705179282868526
"35",0.956175298804781
"36",0.410358565737052
"37",0.0199203187250996
"38",0.561752988047809
"39",0.749003984063745
"40",0.537848605577689
"41",0.760956175298805
"42",0.768924302788845
"43",0.0398406374501992
"44",0.852589641434263
"45",1
"46",0.557768924302789
"47",0.103585657370518
"48",0.98406374501992
"49",0.593625498007968
"50",0.808764940239044
"51",0.362549800796813
"52",0.262948207171315
"53",0.577689243027888
"54",0.876494023904382
"55",0.964143426294821
"56",0.342629482071713
"57",0.621513944223108
"58",0.211155378486056
"59",0.848605577689243
"60",0.231075697211155
"61",0.737051792828685
"62",0.657370517928287
"63",0.262948207171315
"64",0.912350597609562
"65",0.314741035856574
"66",0.537848605577689
"67",0.051792828685259
"68",0.669322709163347
"69",0.677290836653386
"70",0.111553784860558
"71",0.207171314741036
"72",0.768924302788845
"73",0.326693227091633
"74",0.960159362549801
"75",0.569721115537849
"76",0.49800796812749
"77",0.796812749003984
"78",0.0278884462151394
"79",0.434262948207171
"80",0.820717131474104
"81",0.904382470119522
"82",0.466135458167331
"83",0.533864541832669
"84",0.426294820717131
"85",0.0597609561752988
"86",0.262948207171315
"87",0.0199203187250996
"88",0.107569721115538
"89",0.442231075697211
"90",0.191235059760956
"91",0.314741035856574
"92",0.211155378486056
"93",0.852589641434263
"94",0.645418326693227
"95",0.49003984063745
"96",0.135458167330677
"97",0.856573705179283
"98",0.99601593625498
"99",0.107569721115538
"100",0.99203187250996
"101",0.816733067729084
"102",0.330677290836653
"103",0.0756972111553785
"104",0.764940239043825
"105",0.103585657370518
"106",0.828685258964143
"107",0.450199203187251
"108",0.804780876494024
"109",0.135458167330677
"110",0.884462151394422
"111",0.633466135458167
"112",0.573705179282869
"113",0.936254980079681
"114",0.171314741035857
"115",0.0876494023904383
"116",0.382470119521912
"117",0.752988047808765
"118",0.274900398406374
"119",0.792828685258964
"120",0.964143426294821
"121",0.545816733067729
"122",0.573705179282869
"123",0.390438247011952
"124",0.442231075697211
"125",0.689243027888446
"126",0.689243027888446
"127",0.0677290836653386
"128",0.139442231075697
"129",0.605577689243028
"130",0.928286852589641
"131",0.243027888446215
"132",0.577689243027888
"133",0.725099601593626
"134",0.410358565737052
"135",0.665338645418327
"136",0.768924302788845
"137",0.569721115537849
"138",0.418326693227092
"139",0.960159362549801
"140",0.0876494023904383
"141",0.581673306772908
"142",0.569721115537849
"143",0.099601593625498
"144",0.589641434262948
"145",0.788844621513944
"146",0.350597609561753
"147",0.00398406374501992
"148",0.047808764940239
"149",0.470119521912351
"150",0.366533864541833
"151",0.892430278884462
"152",0.406374501992032
"153",0.908366533864542
"154",0.832669322709163
"155",0.0876494023904383
"156",0.756972111553785
"157",0.896414342629482
"158",0.756972111553785
"159",0.48605577689243
"160",0.346613545816733
"161",0.0836653386454183
"162",0.342629482071713
"163",0.247011952191235
"164",0.0119521912350598
"165",0.294820717131474
"166",0.705179282868526
"167",0.940239043824701
"168",0.533864541832669
"169",0.561752988047809
"170",0.609561752988048
"171",0.729083665338645
"172",0.621513944223108
"173",0.721115537848606
"174",0.725099601593626
"175",0.725099601593626
"176",0.856573705179283
"177",0.266932270916335
"178",0.936254980079681
"179",0.458167330677291
"180",0.589641434262948
"181",0.625498007968127
"182",0.733067729083665
"183",0.557768924302789
"184",0.956175298804781
"185",0.545816733067729
"186",0.374501992031873
"187",0.410358565737052
"188",0.0239043824701195
"189",0.820717131474104
"190",0.442231075697211
"191",0.203187250996016
"192",0.0677290836653386
"193",0.239043824701195
"194",0.613545816733068
"195",0.537848605577689
"196",0.645418326693227
"197",0.752988047808765
"198",0.533864541832669
"199",0.314741035856574
"200",0.749003984063745
