"","V1"
"1",0.00796812749003984
"2",0.0557768924302789
"3",0.0199203187250996
"4",0.099601593625498
"5",0.00398406374501992
"6",0.00398406374501992
"7",0.00398406374501992
"8",0.0398406374501992
"9",0.00398406374501992
"10",0.0358565737051793
"11",0.0358565737051793
"12",0.0199203187250996
"13",0.171314741035857
"14",0.051792828685259
"15",0.127490039840637
"16",0.0398406374501992
"17",0.223107569721116
"18",0.0239043824701195
"19",0.047808764940239
"20",0.0159362549800797
"21",0.00796812749003984
"22",0.0717131474103586
"23",0.123505976095618
"24",0.0239043824701195
"25",0.0677290836653386
"26",0.103585657370518
"27",0.051792828685259
"28",0.00398406374501992
"29",0.0278884462151394
"30",0.00796812749003984
"31",0.00398406374501992
"32",0.0398406374501992
"33",0.0318725099601594
"34",0.00796812749003984
"35",0.0199203187250996
"36",0.0717131474103586
"37",0.0836653386454183
"38",0.0597609561752988
"39",0.00398406374501992
"40",0.00398406374501992
"41",0.0637450199203187
"42",0.147410358565737
"43",0.00398406374501992
"44",0.155378486055777
"45",0.099601593625498
"46",0.0637450199203187
"47",0.103585657370518
"48",0.123505976095618
"49",0.0199203187250996
"50",0.0796812749003984
"51",0.191235059760956
"52",0.0796812749003984
"53",0.195219123505976
"54",0.0119521912350598
"55",0.0278884462151394
"56",0.207171314741036
"57",0.0119521912350598
"58",0.0239043824701195
"59",0.0318725099601594
"60",0.0239043824701195
"61",0.0836653386454183
"62",0.00398406374501992
"63",0.0677290836653386
"64",0.0756972111553785
"65",0.00398406374501992
"66",0.0318725099601594
"67",0.0199203187250996
"68",0.0239043824701195
"69",0.00398406374501992
"70",0.0637450199203187
"71",0.0398406374501992
"72",0.0916334661354582
"73",0.0159362549800797
"74",0.0677290836653386
"75",0.227091633466135
"76",0.051792828685259
"77",0.195219123505976
"78",0.047808764940239
"79",0.00398406374501992
"80",0.0836653386454183
"81",0.0199203187250996
"82",0.111553784860558
"83",0.0199203187250996
"84",0.00796812749003984
"85",0.0836653386454183
"86",0.0756972111553785
"87",0.00398406374501992
"88",0.0836653386454183
"89",0.0756972111553785
"90",0.0358565737051793
"91",0.123505976095618
"92",0.0358565737051793
"93",0.123505976095618
"94",0.203187250996016
"95",0.0278884462151394
"96",0.0637450199203187
"97",0.051792828685259
"98",0.207171314741036
"99",0.00398406374501992
"100",0.0199203187250996
"101",0.047808764940239
"102",0.0318725099601594
"103",0.0119521912350598
"104",0.00796812749003984
"105",0.0239043824701195
"106",0.179282868525896
"107",0.047808764940239
"108",0.0438247011952191
"109",0.0318725099601594
"110",0.127490039840637
"111",0.00796812749003984
"112",0.135458167330677
"113",0.123505976095618
"114",0.0318725099601594
"115",0.0358565737051793
"116",0.0119521912350598
"117",0.00398406374501992
"118",0.0677290836653386
"119",0.00796812749003984
"120",0.0358565737051793
"121",0.00398406374501992
"122",0.103585657370518
"123",0.00398406374501992
"124",0.051792828685259
"125",0.0398406374501992
"126",0.0597609561752988
"127",0.0557768924302789
"128",0.0239043824701195
"129",0.0199203187250996
"130",0.00398406374501992
"131",0.0438247011952191
"132",0.00398406374501992
"133",0.0876494023904383
"134",0.00398406374501992
"135",0.103585657370518
"136",0.0916334661354582
"137",0.00398406374501992
"138",0.0119521912350598
"139",0.0438247011952191
"140",0.051792828685259
"141",0.00398406374501992
"142",0.0199203187250996
"143",0.0239043824701195
"144",0.0278884462151394
"145",0.099601593625498
"146",0.00398406374501992
"147",0.0199203187250996
"148",0.127490039840637
"149",0.0358565737051793
"150",0.00398406374501992
"151",0.0597609561752988
"152",0.143426294820717
"153",0.00796812749003984
"154",0.0557768924302789
"155",0.099601593625498
"156",0.0717131474103586
"157",0.0159362549800797
"158",0.0677290836653386
"159",0.0159362549800797
"160",0.0199203187250996
"161",0.155378486055777
"162",0.00398406374501992
"163",0.0916334661354582
"164",0.111553784860558
"165",0.099601593625498
"166",0.0239043824701195
"167",0.195219123505976
"168",0.0358565737051793
"169",0.0318725099601594
"170",0.00796812749003984
"171",0.0159362549800797
"172",0.00398406374501992
"173",0.00398406374501992
"174",0.00796812749003984
"175",0.00398406374501992
"176",0.099601593625498
"177",0.047808764940239
"178",0.0717131474103586
"179",0.00398406374501992
"180",0.0876494023904383
"181",0.143426294820717
"182",0.0358565737051793
"183",0.0199203187250996
"184",0.0159362549800797
"185",0.0956175298804781
"186",0.00796812749003984
"187",0.0916334661354582
"188",0.0876494023904383
"189",0.0836653386454183
"190",0.0796812749003984
"191",0.195219123505976
"192",0.0597609561752988
"193",0.326693227091633
"194",0.0358565737051793
"195",0.047808764940239
"196",0.0278884462151394
"197",0.0318725099601594
"198",0.0278884462151394
"199",0.227091633466135
"200",0.051792828685259
