"","V1"
"1",0.139442231075697
"2",0.98804780876494
"3",0.625498007968127
"4",0.657370517928287
"5",0.47808764940239
"6",0.330677290836653
"7",0.816733067729084
"8",0.9800796812749
"9",0.266932270916335
"10",0.944223107569721
"11",0.426294820717131
"12",0.800796812749004
"13",0.0956175298804781
"14",0.298804780876494
"15",0.115537848605578
"16",0.737051792828685
"17",0.713147410358566
"18",0.848605577689243
"19",0.199203187250996
"20",0.50199203187251
"21",0.697211155378486
"22",0.207171314741036
"23",0.920318725099602
"24",0.816733067729084
"25",0.223107569721116
"26",0.0956175298804781
"27",0.848605577689243
"28",0.529880478087649
"29",0.350597609561753
"30",0.00398406374501992
"31",0.386454183266932
"32",0.354581673306773
"33",0.0278884462151394
"34",0.354581673306773
"35",0.756972111553785
"36",0.430278884462151
"37",0.462151394422311
"38",0.147410358565737
"39",0.752988047808765
"40",0.693227091633466
"41",0.577689243027888
"42",0.0637450199203187
"43",0.378486055776892
"44",0.0239043824701195
"45",0.681274900398406
"46",0.286852589641434
"47",0.278884462151394
"48",0.0358565737051793
"49",0.824701195219124
"50",0.406374501992032
"51",0.131474103585657
"52",0.330677290836653
"53",0.697211155378486
"54",0.697211155378486
"55",0.561752988047809
"56",0.143426294820717
"57",0.131474103585657
"58",0.529880478087649
"59",0.358565737051793
"60",0.354581673306773
"61",0.50199203187251
"62",0.414342629482072
"63",0.804780876494024
"64",0.430278884462151
"65",0.597609561752988
"66",0.537848605577689
"67",0.605577689243028
"68",0.705179282868526
"69",0.545816733067729
"70",0.525896414342629
"71",0.342629482071713
"72",0.605577689243028
"73",0.119521912350598
"74",0.48207171314741
"75",0.653386454183267
"76",0.326693227091633
"77",0.645418326693227
"78",0.772908366533865
"79",0.0756972111553785
"80",0.410358565737052
"81",0.525896414342629
"82",0.350597609561753
"83",0.896414342629482
"84",0.820717131474104
"85",0.98406374501992
"86",0.816733067729084
"87",0.641434262948207
"88",0.940239043824701
"89",0.948207171314741
"90",0.800796812749004
"91",0.816733067729084
"92",0.354581673306773
"93",0.50199203187251
"94",0.414342629482072
"95",1
"96",0.876494023904382
"97",0.450199203187251
"98",0.306772908366534
"99",0.828685258964143
"100",0.354581673306773
"101",0.231075697211155
"102",0.99601593625498
"103",0.422310756972112
"104",0.239043824701195
"105",0.956175298804781
"106",0.936254980079681
"107",0.51394422310757
"108",0.884462151394422
"109",0.824701195219124
"110",1
"111",0.270916334661355
"112",0.752988047808765
"113",0.972111553784861
"114",0.278884462151394
"115",0.693227091633466
"116",0.876494023904382
"117",0.609561752988048
