"","V1"
"1",0.0538922155688623
"2",0.70059880239521
"3",0.177644710578842
"4",0.0139720558882236
"5",0.842315369261477
"6",0.768463073852295
"7",0.0199600798403194
"8",0.00199600798403194
"9",0.00798403193612774
"10",0.0918163672654691
